DISTRICT_C,TEHSIL_C,Province,District,Tehsil,Total_Expenditure,Male_Beneficiaries,Female_Beneficiaries,Local_Beneficiaries,Afghan_Beneficiaries,CO_formed,VO_formed,LSO_ormed
402,40201,FATA                          ,Khyber Agency,Bara,40000,143,45,167,63,31,3,1
402,40202,FATA                          ,Khyber Agency,Jamrud,35000,210,65,212,78,47,7,1
402,40203,FATA                          ,Khyber Agency,Landi Kotal,39000,173,68,165,43,51,13,3
204,20401,KPK                           ,Buner,Chagharzai,49000,100,75,125,50,40,8,2
204,20402,KPK                           ,Buner,Chamla,45000,150,80,200,40,52,11,4
204,20403,KPK                           ,Buner,Daggar,51200,170,70,198,76,43,4,1
204,20404,KPK                           ,Buner,Gagra,49500,173,68,165,43,51,13,3
209,20901,KPK                           ,Haripur,Ghazi,55000,143,45,167,63,31,3,1
209,20902,KPK                           ,Haripur,Haripur,59000,100,75,125,50,40,8,2
221,22101,KPK                           ,Swabi,Lahor,71000,143,45,167,63,31,3,1
218,21801,KPK                           ,Nowshera,Nowshera,66000,170,70,198,76,43,4,1
218,21802,KPK                           ,Nowshera,Pabbi,71000,173,68,165,43,51,13,3
219,21901,KPK                           ,Peshawar,Peshawar,95000,210,65,212,78,47,7,1
204,20405,KPK                           ,Buner,Pir Baba/ Gadaizi,44000,210,65,212,78,47,7,1
214,21401,KPK                           ,Lower Dir,Samar Bagh,46000,89,65,97,23,38,6,1
221,22102,KPK                           ,Swabi,Swabi,66000,100,75,125,50,40,8,2
214,21402,KPK                           ,Lower Dir,Timergara,41000,150,80,200,40,52,11,4
221,22103,KPK                           ,Swabi,Topi,61000,89,65,97,23,38,6,1
204,20406,KPK                           ,Buner,Totalai,41000,89,65,97,23,38,6,1
715,71501,Balochistan                   ,Killa Abdullah,Chaman,30000,170,70,198,76,43,4,1
725,72501,Balochistan                   ,Pishin,Barshore,34000,100,75,125,50,40,8,2
715,71502,Balochistan                   ,Killa Abdullah,Killa Abdullah,35000,173,68,165,43,51,13,3
703,72602,Balochistan                   ,Quetta,Panjpai,49000,170,70,198,76,43,4,1
704,70403,Balochistan                   ,Chaghi,Taftan,27000,150,80,200,40,52,11,4
704,70402,Balochistan                   ,Chaghi,Dalbandin,18000,89,65,97,23,38,6,1
704,70401,Balochistan                   ,Chaghi,Chagai,20000,100,75,125,50,40,8,2
726,72601,Balochistan                   ,Quetta,Quetta City,45000,150,80,200,40,52,11,4
725,72502,Balochistan                   ,Pishin,Karezat,37500,143,45,167,63,31,3,1
725,72503,Balochistan                   ,Pishin,Pishin,31000,89,65,97,23,38,6,1
716,71601,Balochistan                   ,Killa Saifullah,Badinai,38000,89,65,97,23,38,6,1
716,71602,Balochistan                   ,Killa Saifullah,Kan Mehtarzai,41000,100,75,125,50,40,8,2
716,71603,Balochistan                   ,Killa Saifullah,Killa Saifullah,23000,143,45,167,63,31,3,1
716,71604,Balochistan                   ,Killa Saifullah,Loi Band,33000,210,65,212,78,47,7,1
716,71605,Balochistan                   ,Killa Saifullah,Muslim Bagh,29000,170,70,198,76,43,4,1
716,71606,Balochistan                   ,Killa Saifullah,Shinkai,34500,150,80,200,40,52,11,4
719,71901,Balochistan                   ,Loralai,Duki,44000,210,65,212,78,47,7,1
719,71902,Balochistan                   ,Loralai,Loralai,42000,173,68,165,43,51,13,3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TEHSIL,VO formed,,,,,,,,,,,
Bara,3,,,,,,,,,,,
Jamrud,7,,,,,,,,,,,
Landi Kotal,13,,,,,,,,,,,
Chagharzai,8,,,,,,,,,,,
Chamla,11,,,,,,,,,,,
Daggar,4,,,,,,,,,,,
Gagra,13,,,,,,,,,,,
Ghazi,3,,,,,,,,,,,
Haripur,8,,,,,,,,,,,
Lahor,3,,,,,,,,,,,
Nowshera,4,,,,,,,,,,,
Pabbi,13,,,,,,,,,,,
Peshawar,7,,,,,,,,,,,
Pir Baba/ Gadaizi,7,,,,,,,,,,,
Samar Bagh,6,,,,,,,,,,,
Swabi,8,,,,,,,,,,,
Timergara,11,,,,,,,,,,,
Topi,6,,,,,,,,,,,
Totalai,6,,,,,,,,,,,
Chaman,4,,,,,,,,,,,
Barshore,8,,,,,,,,,,,
Killa Abdullah,13,,,,,,,,,,,
Panjpai,4,,,,,,,,,,,
Taftan,11,,,,,,,,,,,
Dalbandin,6,,,,,,,,,,,
Chagai,8,,,,,,,,,,,
Quetta City,11,,,,,,,,,,,
Karezat,3,,,,,,,,,,,
Pishin,6,,,,,,,,,,,
Badinai,6,,,,,,,,,,,
Kan Mehtarzai,8,,,,,,,,,,,
Killa Saifullah,3,,,,,,,,,,,
Loi Band,7,,,,,,,,,,,
Muslim Bagh,4,,,,,,,,,,,
Shinkai,11,,,,,,,,,,,
Duki,7,,,,,,,,,,,
Loralai,13,,,,,,,,,,,
